"theta","distance","weight"
5.23137163836509,0.0306560369433084,0.005
6.86203077901155,1.80285052478953,0.005
7.21908674109727,2.08993225798142,0.005
5.11536341160536,0.00660026256369406,0.005
4.88141901325434,0.00520725426040247,0.005
4.88141901325434,0.00520725426040247,0.005
4.88141901325434,0.00520725426040247,0.005
4.88141901325434,0.00520725426040247,0.005
5.11536341160536,0.00660026256369406,0.005
5.11536341160536,0.00660026256369406,0.005
5.11536341160536,0.00660026256369406,0.005
4.88141901325434,0.00520725426040247,0.005
5.11536341160536,0.00660026256369406,0.005
4.88141901325434,0.00520725426040247,0.005
5.11536341160536,0.00660026256369406,0.005
5.31693105120212,0.228611987628218,0.005
7.13797690346837,2.07816954668209,0.005
4.88141901325434,0.00520725426040247,0.005
5.31693105120212,0.228611987628218,0.005
4.88141901325434,0.00520725426040247,0.005
5.23137163836509,0.0306560369433084,0.005
5.11536341160536,0.00660026256369406,0.005
4.82585640158504,0.278621342239856,0.005
5.11536341160536,0.00660026256369406,0.005
4.88141901325434,0.00520725426040247,0.005
6.84239532798529,1.67811076100236,0.005
4.91228793282062,0.177179540840932,0.005
4.88141901325434,0.00520725426040247,0.005
5.82542143762112,0.565150905400451,0.005
6.0070158354938,0.820341908092871,0.005
5.11536341160536,0.00660026256369406,0.005
5.23137163836509,0.0306560369433084,0.005
5.11536341160536,0.00660026256369406,0.005
2.57065695244819,2.47216055402664,0.005
5.2076212503016,0.040545531610757,0.005
5.11536341160536,0.00660026256369406,0.005
5.11536341160536,0.00660026256369406,0.005
4.88141901325434,0.00520725426040247,0.005
5.11536341160536,0.00660026256369406,0.005
4.88141901325434,0.00520725426040247,0.005
5.2076212503016,0.040545531610757,0.005
4.88141901325434,0.00520725426040247,0.005
4.88141901325434,0.00520725426040247,0.005
5.23137163836509,0.0306560369433084,0.005
4.88141901325434,0.00520725426040247,0.005
4.88141901325434,0.00520725426040247,0.005
4.88141901325434,0.00520725426040247,0.005
2.6662299502641,2.35595744357437,0.005
5.3779643215239,0.145849996422863,0.005
5.5724559398368,0.586003394783784,0.005
7.21390400081873,1.98328735573101,0.005
4.88141901325434,0.00520725426040247,0.005
5.23137163836509,0.0306560369433084,0.005
5.11536341160536,0.00660026256369406,0.005
5.16217089723796,0.13086255891039,0.005
4.72961514722556,0.383707128776165,0.005
4.88141901325434,0.00520725426040247,0.005
5.11536341160536,0.00660026256369406,0.005
4.88141901325434,0.00520725426040247,0.005
7.28198075667024,2.2552863191757,0.005
4.88141901325434,0.00520725426040247,0.005
4.88141901325434,0.00520725426040247,0.005
4.88141901325434,0.00520725426040247,0.005
6.07450821436942,0.941536455398692,0.005
5.4756232816726,0.425997063426406,0.005
5.74423286598176,0.651513399721263,0.005
4.88141901325434,0.00520725426040247,0.005
4.88141901325434,0.00520725426040247,0.005
5.11536341160536,0.00660026256369406,0.005
5.51093042362481,0.574114750779345,0.005
4.88141901325434,0.00520725426040247,0.005
6.339425239712,1.21649776766156,0.005
5.11536341160536,0.00660026256369406,0.005
5.23137163836509,0.0306560369433084,0.005
5.11536341160536,0.00660026256369406,0.005
3.92982577905059,1.19486093199014,0.005
5.11536341160536,0.00660026256369406,0.005
5.23137163836509,0.0306560369433084,0.005
4.88141901325434,0.00520725426040247,0.005
5.2076212503016,0.040545531610757,0.005
5.31693105120212,0.228611987628218,0.005
4.88141901325434,0.00520725426040247,0.005
5.11536341160536,0.00660026256369406,0.005
6.04687470477074,0.900676858840987,0.005
4.88141901325434,0.00520725426040247,0.005
5.11536341160536,0.00660026256369406,0.005
7.97887034248561,2.84692597403753,0.005
4.88141901325434,0.00520725426040247,0.005
5.19380186218768,0.125577456980277,0.005
4.88141901325434,0.00520725426040247,0.005
3.01618399098516,2.09484681553737,0.005
4.88141901325434,0.00520725426040247,0.005
4.88141901325434,0.00520725426040247,0.005
4.88141901325434,0.00520725426040247,0.005
5.11536341160536,0.00660026256369406,0.005
5.23137163836509,0.0306560369433084,0.005
5.11536341160536,0.00660026256369406,0.005
4.88141901325434,0.00520725426040247,0.005
5.11536341160536,0.00660026256369406,0.005
5.23137163836509,0.0306560369433084,0.005
5.11536341160536,0.00660026256369406,0.005
5.11536341160536,0.00660026256369406,0.005
4.88141901325434,0.00520725426040247,0.005
5.11536341160536,0.00660026256369406,0.005
4.88141901325434,0.00520725426040247,0.005
5.11536341160536,0.00660026256369406,0.005
6.43719539511949,1.30011013357437,0.005
4.29990978911519,0.713820385813624,0.005
4.88141901325434,0.00520725426040247,0.005
5.11536341160536,0.00660026256369406,0.005
4.88141901325434,0.00520725426040247,0.005
